Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude.data,longitude.data,altitude.data,utm_easting.data,utm_northing.data,zone_num.data,zone_letter.data,quality.data
1646352576.2186384,496,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352577.2190144,497,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352578.2170153,498,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352579.2348826,499,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352580.233603,500,0,0,,42.33726166666666,-71.08967166666667,16.7,327851.59824013873,4689337.876077119,19.0,T,0
1646352581.216485,501,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352582.2131176,502,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352583.2140155,503,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352584.2178361,504,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352585.211323,505,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352586.2155704,506,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352587.2170804,507,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352588.209832,508,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352589.2164786,509,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352590.214934,510,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352591.2151802,511,0,0,,42.33726333333334,-71.08967166666667,16.5,327851.6027881348,4689338.061147762,19.0,T,0
1646352592.2147474,512,0,0,,42.33726333333334,-71.08967333333334,16.5,327851.4654813903,4689338.064521992,19.0,T,0
1646352593.215375,513,0,0,,42.33726333333334,-71.08967333333334,16.5,327851.4654813903,4689338.064521992,19.0,T,0
1646352594.2130735,514,0,0,,42.33726333333334,-71.08967333333334,16.5,327851.4654813903,4689338.064521992,19.0,T,0
1646352595.2236452,515,0,0,,42.33726333333334,-71.08967333333334,16.5,327851.4654813903,4689338.064521992,19.0,T,0
1646352596.2128386,516,0,0,,42.33726333333334,-71.08967333333334,16.5,327851.4654813903,4689338.064521992,19.0,T,0
1646352597.215389,517,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352598.2157354,518,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352599.21508,519,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352600.2102358,520,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352601.2144172,521,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352602.2133434,522,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352603.212421,523,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352604.2094269,524,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352605.1997721,525,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352606.210728,526,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352607.2123454,527,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352608.2119565,528,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352609.2192426,529,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352610.209905,530,0,0,,42.33726333333334,-71.08967333333334,16.6,327851.4654813903,4689338.064521992,19.0,T,0
1646352611.2113435,531,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352612.2027555,532,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352613.219658,533,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352614.2131803,534,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352615.2135203,535,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352616.2137372,536,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352617.218843,537,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352618.2116072,538,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352619.2083545,539,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352620.2116337,540,0,0,,42.33726333333334,-71.089675,16.6,327851.32817464793,4689338.067896225,19.0,T,0
1646352621.2128625,541,0,0,,42.33726333333334,-71.089675,16.7,327851.32817464793,4689338.067896225,19.0,T,0
1646352622.2126856,542,0,0,,42.33726333333334,-71.089675,16.7,327851.32817464793,4689338.067896225,19.0,T,0
